123;Mongólia;Ulã Bator;Ásia
124;Montenegro;Podgoritsa;Europa
125;Namíbia;Vinduque;África
126;Nauru;Iarém;Oceania
127;Nepal;Catmandu;Ásia
128;Nicarágua;Manágua;América
129;Níger;Niamei;África
130;Nigéria;Abuja;África
131;Noruega;Oslo;Europa
132;Nova Zelândia;Wellington;Oceania
133;Omã;Mascate;Ásia
134;Países Baixos;Amesterdão;Europa
135;Palau;Ngerulmud;Oceania
136;Panamá;Cidade do Panamá;América
137;Papua Nova Guiné;Porto Moresby;Oceania
138;Paquistão;Islamabade;Ásia
139;Paraguai;Assunção;América
140;Peru;Lima;América
141;Polónia;Varsóvia;Europa
142;Portugal;Lisboa;Europa
143;Quénia;Nairóbi;África
144;Quirguistão;Bisqueque;Ásia
145;Quiribáti;Taraua do Sul;Oceania
146;Reino Unido;Londres;Europa
147;República Centro-Africana;Bangui;África
148;República Checa;Praga;Europa
149;República Democrática do Congo;Quinxassa;África
150;República Dominicana;São Domingos;América
151;Roménia;Bucareste;Europa
152;Ruanda;Quigali;África
153;Rússia;Moscovo;Europa
154;Salomão;Honiara;Oceania
155;Salvador;São Salvador;América
156;Samoa;Apia;Oceania
157;Santa Lúcia;Castries;América
158;São Cristóvão e Neves;Basseterre;América
159;São Marinho;São Marinho;Europa
160;São Tomé e Príncipe;São Tomé;África
161;São Vicente e Granadinas;Kingstown;América
162;Seicheles;Vitória;África
163;Senegal;Dacar;África
164;Serra Leoa;Freetown;África
165;Sérvia;Belgrado;Europa
166;Singapura;Singapura;Ásia
167;Síria;Damasco;Ásia
168;Somália;Mogadíscio;África
169;Sri Lanca;Sri Jaiavardenapura-Cota;Ásia
170;Suazilândia;Lobamba;África
171;Sudão;Cartum;África
172;Sudão do Sul;Juba;África
173;Suécia;Estocolmo;Europa
174;Suíça;Berna;Europa
175;Suriname;Paramaribo;América
176;Tailândia;Banguecoque;Ásia
177;Taiuã;Taipé;Ásia
178;Tajiquistão;Duchambé;Ásia
179;Tanzânia;Dodoma;África
180;Timor-Leste;Díli;Oceania
181;Togo;Lomé;África
182;Tonga;Nucualofa;Oceania
183;Trindade e Tobago;Porto de Espanha;América
184;Tunísia;Tunes;África
185;Turcomenistão;Asgabate;Ásia
186;Turquia;Ancara;Ásia
187;Tuvalu;Funafuti;Oceania
188;Ucrânia;Quieve;Europa
189;Uganda;Campala;África
190;Uruguai;Montevideu;América
191;Usbequistão;Tasquente;Ásia
192;Vanuatu;Porto Vila;Oceania
193;Vaticano;Vaticano;Europa
194;Venezuela;Caracas;América
195;Vietname;Hanói;Ásia
196;Zâmbia;Lusaca;África
197;Zimbábue;Harare;África
